,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
10,norteyrichard62,BLUE IS THE COLOUR FOOTBALL IS THE GAME,"Accra, Ghana",1190,1016,90566,3,"🇲🇦 Morocco are not unconvinced  🇬🇭Ghana's Black Maidens are true Un17s and plan to lodge a complaint after losing 2-0 in a World Cup qualifier played in Accra yesterday.

Interesting!

[Via @dmsportofficiel]

#JoySports https://t.co/qcEgw3yjVm",[]
11,TontoTrailRat,,,384,163,9762,17,"BRCC likely has a huge problem on its hands.

This is an absolute banger of a shareholder complaint.

https://t.co/7tCuLGY6u5",[]
12,accessbank_help,Welcome to @myaccessbank Official Help Twitter Handle. How may we be of service? Please don't publicly tweet your account details.,Nigeria,40475,221370,411572,0,"@pwedie_tee Hi @pwedie_tee, I am concerned about your post and we'd like to address your complaint. Kindly send a DM.^Kosi",[]
13,AghFord,...just trying to keep hope alive!...,,1102,211,34971,518,"A group of lawyers wants the State Bar of Texas to investigate Republican U.S. Sen. @tedcruz for his “leading” role in attempting to overturn the 2020 presidential election results  
https://t.co/zDZhxMEInC",[]
14,KenyaPower_Care,"Kenya Power Social Media Support Team. 
Here to help with all your power related queries,24/7.","Stima Plaza, Nairobi, Kenya",19670,1184567,1936730,0,"@_queen2011 We have booked the issue for assistance. Please note your complaint reference number is 8124436.
Answered by: EM",[]
15,RoyalMailHelp,The official Twitter account for Royal Mail Customer Service. Here to help Mon-Fri 8am-6pm. Follow @RoyalMail for the latest news.,United Kingdom,5,67769,307309,0,"@pkrpmusic Hi, thanks for your message. We're sorry for what's happened. If you'd like to log this as a complaint, you can do so via - https://t.co/8QNqwX04G9 or DM us further details. ^RM",[]
16,Sensei415,,,6223,8396,266791,26,(House Ethics rules do ask for a notarized complaint. TIL),[]
17,gregoryleigh11,"Prof Emeritus History, Early Modern Europe, an old 60s/70s lefty, musician, foodie, motto: go gently through life, despite being an all in cynic about politics",,314,332,17600,0,"@MississippiBlu2 @Megawatts55 That’s why there has been a long complaint about the National Democratic Party not aiding the state party, as it does in what they perceive are more useful states and Mississippi is indeed to them a Lost Cause, so let’s don’t even try.",[]
18,Purusho08223217,CA Student,,34,1,246,0,"You complaint so I cant proceed and refund the processing fees....Ilogical documents are demanded which has no practical use just give execuses to reject the sanctioned
@ICICIBank_Care 
@ICICIBank 
#iciciscam
#icicifraud
#icici_mislead","['iciciscam', 'icicifraud', 'icici_mislead']"
19,Sensei415,,,6223,8396,266791,59,"Last year’s ethics complaint is signed by Loudermilk and, for some reason, notarized. https://t.co/3xWmOSbKHa",[]
20,RoyalMailHelp,The official Twitter account for Royal Mail Customer Service. Here to help Mon-Fri 8am-6pm. Follow @RoyalMail for the latest news.,United Kingdom,5,67769,307309,0,"@SarahTeehee Hi. To help us assist, please confirm via DM any of the outstanding details below: 

&gt; Item tracking number, date of posting, &amp; service used
&gt; Sender’s and Recipient’s name, address, contact number and email address
&gt; Any relevant claim/complaint reference numbers  

^RM",[]
21,MaxAMaxim,comedy • fashion • hockey • politics • tech • not always like that but • poaster • reply guy • bipolar • agnostic • he/they/any • no dms • 🏳️‍🌈,blm • hope against hate,11157,10146,362244,26,(House Ethics rules do ask for a notarized complaint. TIL),[]
22,Sensei415,,,6223,8396,266791,181,"Just over a year ago, Loudermilk himself filed an ethics complaint against Rep. Sherrill for making a similar allegation, and put out this statement. https://t.co/fWABJ2TY1K https://t.co/aK3n09RuPw",[]
23,vighosh03,"Sailor by Heart, Navigator by Profession.",,195,215,13814,58,"Filed a complaint at North Avenue PS agnst @adhirrcinc (@INCIndia MP) fr intentionally hurting Sikh sentiments; &amp; fr spreading hatred on social media with a view to cause communal disharmony. Demanding a case to be regd against him under various sections of IPC
@ANI @DCPNewDelhi https://t.co/s86UaYDicG",[]
24,heff_jan,"loves the Steelers ,the Ocean, traveling, strong men.",East Coast,194,145,96469,133,"After getting lots of support in his facebook group, this man took his complaint about a student poem of isolation and otherness to Twitter. His twitter followers, other angry white people, obligingly screamed about being oppressed, They demanded various vengeances.",[]
25,hmcmah0n,@BurnleyOfficial X @redbullracing X @nyknicks,MV1|SP11|LN4|SV5,448,464,5639,32,"Development in Everton FFP complaint. Leeds Utd + Burnley have asked Premier League to order Everton not to delete any data or communication around commercial, sponsorship or transfer business as they step up their drive to get EFC's financial accounts independently investigated.",[]
26,kcaldwell,"Empath. Realtor. Photographer. Victim of Wanderlust. Dreamer. Solo Parent, Dog Mom & Reluctant Cat Mom. Fan of Glittery Things & Kind People. She/Her","Guelph, Ontario",1907,1991,8410,0,"@JennValentyne Thank you for sharing. Sadly, a shared experience for so many of us in so many professions. Your mom would be proud of the strength and bravery you are showing. I hope your complaint is successful.",[]
27,EvertonEFC18788,•Everton & Ferrari fan 💙⚽ 🏎️❤️,,1426,1618,18252,0,"A 3rd party auditor has investigated Everton 

Everton are fine as the Premier League has already signed off everything that has gone through the books - if Leeds &amp; Burnley have a complaint it's with premier league

An adjudicator has 6 weeks to look into any complaints",[]
28,MaryJoe38642126,,,2000,3573,198797,1,"After 2011 complaint @EdmontonHumane found Lucy's care @ #EdmontonValleyZoo within standards. Investigation was to stay open 'til zoo met ALL recommendations, like diagnosing &amp; treating her respiratory problem. No diagnosis yet #FreeLucy @AmarjeetSohiYEG https://t.co/TgUk3MtWvq",['EdmontonValleyZoo']
29,atriskeel,"She/her. 

let the wolves take care of the rest.",,109,8,220,0,"Current Body Feeling: it's as if someone surgically inserted a rachet in my spine that connects to the left side of my heart and general sense of nausea and they keep twisting it like a little fuck.

This has been... a Complaint 🙇‍♂️",[]
30,Yastreblyansky,"Irascible but ever-hopeful Democrat, blogging since 2012. Retweets probably endorsements, DMs likely to be ignored. He/him",NYC,3794,3146,142308,518,"A group of lawyers wants the State Bar of Texas to investigate Republican U.S. Sen. @tedcruz for his “leading” role in attempting to overturn the 2020 presidential election results  
https://t.co/zDZhxMEInC",[]
31,michaelmikeymi1,"I’m creative #blm #blacklivesmatter I follow back, I’m deaf/HoH. 🤟I’m married and have a daughter. DMs are fine only for friendships, nothing else.",Northern Hemispire ,657,533,14638,0,@KaylaChowShow Any complaint.,[]
32,ultraheroinefan,"An otaku that loves to watch animes and play games.  Games I like are the JRPG genres. Tweets may contain NSFW content, R-18.","Selangor, Malaysia",1126,595,100605,1,"Or, and hear me out on this, there should be more ecchi anime that has much more pervert gags.

The only minor complaint I have about Watamote, is that I never got to see Tomoko actually grab You chan's tits. https://t.co/dM7ct0RCsx https://t.co/cT4bsnfew8",[]
33,Lydia_MarieM,Paralegal. Left coast. Philanthropy. Advocacy.,L.A.,207,993,114970,510,"Americans have a stunning capacity to just adapt to new normals of awfulness without significant complaint.

I'm not sure exactly what it would to break the thermostatic apathy, but we clearly haven't seen bottom yet.",[]
34,SihamSabeur,"Journaliste 🇫🇷 France. Monde, TV host, Enfance, #EnfantsPlacés Livre en cours",,6197,6155,1767,0,"1/2 - Hello @MSCCroisieres ,I am your regular client,and find unacceptable to be attacked and harassed by your service provider who sold me your voyage,I would like you to contact me immediately,I will file a complaint with the police because this is not the first time !",[]
35,h_kriti,,,290,78,425,153,"According to the order the complaint was received by the concerned Police Stations and was TORN UP by a civic volunteer. The  Civic volunteer also informed the wives that
their husbands have CONVERTED to islam. #CalcuttaHighCourt",[]
36,BFCIvan,@burnleyofficial I 17 I @englandcricket,"London, England",1021,551,5763,32,"Development in Everton FFP complaint. Leeds Utd + Burnley have asked Premier League to order Everton not to delete any data or communication around commercial, sponsorship or transfer business as they step up their drive to get EFC's financial accounts independently investigated.",[]
37,h_kriti,,,290,78,425,190,The order notes that the petitioners in the plea are two sisters and the respective husbands are the two brothers and worked for a political party that had lost the 2021 assembly elections. The husbands went missing in November 2021 and the wives filed a police complaint.,[]
38,OldCoastie54,Democrat. Hillary supporter. Veteran. Dog lover. Baseball fan.,Southern California,2162,1603,212645,8,"I have good reason to believe that CW1 is @Melahat  Rafiei. As detailed in this FBI complaint, CW1 was arrested for her scheme to bribe Irvine City Council members in 2019. I call on Melahat to resign immediately from her position as CADEM Secretary. https://t.co/wJnGlnQ04n",[]
39,wardj15,Retired,wales,250,2947,1056380,1,@MikeAtwood12 @britishbullybee @GBNEWS @BBCNews @SkyNews please tell me which police officers are giving this advice and I will make a formal complaint @NYorksPolice,[]
40,sgmyamuna,"If you are not communist at 18, then you have no heart. And if you are still communist at 30, then you have no brain. I am not brainless ||","Koyamputhoor, Kongu Naadu.",1470,778,7620,190,The order notes that the petitioners in the plea are two sisters and the respective husbands are the two brothers and worked for a political party that had lost the 2021 assembly elections. The husbands went missing in November 2021 and the wives filed a police complaint.,[]
41,mike1zr2,"We're all fucked. Hookers/Blow 2024. Fuck the ATF.
Mike1zr2 on GETTR",Somewhere in the mitten,827,312,10704,17,"BRCC likely has a huge problem on its hands.

This is an absolute banger of a shareholder complaint.

https://t.co/7tCuLGY6u5",[]
42,sgmyamuna,"If you are not communist at 18, then you have no heart. And if you are still communist at 30, then you have no brain. I am not brainless ||","Koyamputhoor, Kongu Naadu.",1470,778,7620,153,"According to the order the complaint was received by the concerned Police Stations and was TORN UP by a civic volunteer. The  Civic volunteer also informed the wives that
their husbands have CONVERTED to islam. #CalcuttaHighCourt",[]
43,johnna_starr_,"You were burned, You were about to burn, You're still on fire.",21✨ (any pronouns),223,103,10689,0,"I'm gonna get a noise complaint for blasting glass animals at 10 am, I'm so sorry 😭",[]
44,moorthiiam,"#Reader,#interest on 📷,Techie",,192,2,40,0,@Stashfin_ @RBI @iamtoosh Hi stasfin last 10days I will complaint continuesly still not yet get any response from u r side ...this is the way to treat your customers ...still I never used u app and money but I got overdue changes help me out,[]
45,jjj5819,,"New York, USA",4999,2975,929316,133,"After getting lots of support in his facebook group, this man took his complaint about a student poem of isolation and otherness to Twitter. His twitter followers, other angry white people, obligingly screamed about being oppressed, They demanded various vengeances.",[]
46,AssociatesAkhil,"Chartered Accountancy Firm, GST & Income Tax Expert , Option Seller & Mutual Fund Advisors",Pune,1665,576,440,11,"My understanding of GST Refund case : 

1.Client and the Commissioner had already a deal for Refund

2.Client asked CA to certify based on books and GSTR-2B that incidence of tax has not passed

3.Officer being caught after complaint &amp; thus made CA the soft target.

#JusticeforCA",[]
47,cathalmalone,Corkonian-in-exile. Lawyer. Liúdramán. He/him.,"Dublin City, Ireland",4995,2827,79076,80,Prompted by @OlgaCronin’s work at ICCL (https://t.co/BxaP8g8iQ5) I wrote to GeoDirectory looking for a copy of the personal data they hold on me.,[]
48,madskak,"Born in Kashmir, firmly believe Sanatan only scientific way of life, dil se Bharitiya ,Principle of life Karma and Truth are only Dharma",,639,8415,284658,184,"BREAKING: Complaint filed by @mithileshbjplko @itsanuj_singh against “indecent and offensive” tweets by Retd IAS Surya Pratap Singh, Saba Naqvi, TMC’s Mahua Moitra, Peace Party’s Shadab Chouhan &amp; RJD’s Kumar Divashankar directed towards revered God of Hindus, Lord Shiva",[]
49,NHMPofficial,"Official page.
Connect to us on Social Media Platforms @NHMPofficial.",Pakistan,13,204235,22173,0,"@MAsim49 Dear Asim,

Your complaint has been noted.
Please share the Registration Number of the mentioned car and your contact number through DM so that you may be contacted for details regarding your complaint.

Best Regards,
NHMP",[]
50,EurekaForbes,"Official presence of Eureka Forbes India, Your friend for life.",India,9110,17636,168429,0,"@SwamiRengaraj Hi, we apologize for the delay. Our team is looking into your complaint. We will contact you with an update shortly.",[]
51,ThePaintedGrape,I’m here  for the llamas. Has anyone seen the llamas?,"Over yonder, with the sane. ",217,66,3633,518,"A group of lawyers wants the State Bar of Texas to investigate Republican U.S. Sen. @tedcruz for his “leading” role in attempting to overturn the 2020 presidential election results  
https://t.co/zDZhxMEInC",[]
52,cjmoose,"Geologist, naturalist, humanist, frmr🔬👩🏻‍🏫, frmr NPS ranger, birder, craft🍻drinker, @laflynt’s official taste-tester, parent of Pi, Stormy, & P-SwAG.",,4995,3171,109024,732,BIG NEWS 🧵 The Labor Board  just issued a Complaint requesting a bargaining order for the Camp Rd. store in Buffalo. This only happens when companies violate the law so egregiously that it’s essentially impossible to have a fair vote at the store for a long-term period.,[]
53,IndiaNewsStream,"We bring you important news and analyses about domestic and foreign affairs, without fear or favour, to help you make informed choices.",,62,177,36083,0,"New post: ‘When big tree falls..’: Adhir’s Twitter account hacked, complaint lodged https://t.co/vilEtuFKrc",[]
54,SpiffyHobbes,"◆ Classical liberal (& proud of it, thank you!) ◆ Atheist ◆ Dog lover ◆ He/him ◆ Often snarky ◆ At @spiffyhobbes@mstdn.social ◆ Mr to a Dr ◆ #Andolanjivi",Somewhere under the rainbow,66,296,26327,0,"Over the past few months, @amazonIN customer service has progressed from excellent, to mediocre to now plain awful. There's no way you can raise a complaint without going through multiple steps and even then the call agent disconnects the call as ""not audible""",[]
55,EntityofLucifer,"25/ #musculardystrophy 
""Satan laughing spreads his wings"" -Ozzy",Purgatory,158,32,539,0,"Really enjoyed @HaloTheSeries and only had one complaint, so these people saying it sucked obviously never played the games its on point with them!!",[]
56,RailwaySeva,An Official Twitter Account for support to RailUsers @RailMinIndia,,124,504727,1406715,0,"@ravalhiren2020 Sir, We are still waiting for details (https://t.co/xU1ehN6wkA. and PNR No.) so that we register your complaint and expedite resolution.",[]
57,bsesdelhi,Official Twitter handle of BSES (BRPL & BYPL). Contact: BRPL 19123 & BYPL 19122. You may also register complaints through BSES Mobile App.,"New Delhi, Delhi",55,23775,304341,0,@Monu73753188 Your complaint is been forwarded to the relevant team and registered with the number 22052106633 for resolution.,[]
58,gebarnett1002,I like innovative stuff that empowers communities 🙌💡| Data Analytics Snr Programme Mgr @Nesta_uk 🤖| Trustee @tourettesaction 💚 & @NDinbusiness 🧠 | She/her,"Glasgow, Scotland",1465,255,730,0,@monzo Ive already made a complaint - your complaints team have been nothing short of horrendous and unreliable!,[]
59,Monetarius,Information Architect  (DITA)  Antiquarian ... Looking at the world through a Kondratiev lens... Rhetor... Agitator...Feuilletonist... Me/myself,"Saskatoon, SASK",145,210,15351,0,@globeandmail The complaint from the rank and file of the UCP is that Kenney didn't represent the grassroots ideation of the party. God help us.,[]
60,Tathiana10,Be Simple. Be Humble. Be Real🤍,,466,176,8188,23,"If I have one complaint about the series, it's the length. Nakakabitin yung isang episode per week. 

RUNTOME ON IWANTTFC
#RunToMeEp1",[]
61,BannedOnSocial,Official Twitter Account Of A Guy They Don’t Want On Twitter.,,314,79,3260,17,"BRCC likely has a huge problem on its hands.

This is an absolute banger of a shareholder complaint.

https://t.co/7tCuLGY6u5",[]
62,vinaytalwar,"M&A, Corporate Law, Restructuring, Insolvency, Tax, Funding (Debt/Equity)","New Delhi, India",4412,3287,140838,184,"BREAKING: Complaint filed by @mithileshbjplko @itsanuj_singh against “indecent and offensive” tweets by Retd IAS Surya Pratap Singh, Saba Naqvi, TMC’s Mahua Moitra, Peace Party’s Shadab Chouhan &amp; RJD’s Kumar Divashankar directed towards revered God of Hindus, Lord Shiva",[]
63,gtbank_help,Do you need help using any of our products and services? Click here: https://t.co/I5ONW8qM0E,,32273,311931,310374,0,"@AsemwotaO Hi,
Thank you for reaching out to us.
Kindly send us a direct message @gtbank_help with your enquiry/complaint to enable us assist.",[]
64,CameronHillmer,,"Brechin, Ontario, CA",87,267,87085,639,"A group ""formed in the hopes of disbarring lawyers who worked on cases in which"" Trump tried to overturn the 2020 election has filed a complaint with the Texas Bar Association seeking to disbar Ted Cruz. https://t.co/oEx6YXGn2W",[]
65,EconomistBanke1,"SERIOUS COMMENTS ON ECONOMY AND BANKING
RTs not endorsements",भारत,8,105,41666,0,"@b3tt3rthan1 @realPrashantK1 @DrSJaishankar There is no news of fish markets in newspapers or channels!
Perhaps RG is not getting as much welcome from them as during UPA rule! So his complaint may be justified!",[]
66,beatrixkid1994,"clout and talking shit https://t.co/KvAh5mcpwI
https://t.co/DzSN4vVler",Bronx,70,204,4848,0,"I wanna say over half of these are house shows and correct me if I'm wrong but isn't this how they A. Gauge crowd reaction and B. Practice for future matches? The live shows break up the monotony though. Theory,owens and miz. I get the complaint but it's house shows mostly. https://t.co/5DcGZpLimB",[]
67,CChristineFair,"Scholar of South Asian pol-mil affairs, inter-sectional feminist, pitbull apostle, scotch devotee,  nontheist, resister. Views R mine. No rubes. RT≠endorsement.",The Capital of Jesus-e-Stan,2310,55448,18473,376,"When a complaint was filed against Hindu College Prof #RatanLal over 'offensive' post on #Shivling, he told @TheQuint: 'If everything hurts religious sentiments, then we shouldn't say anything at all. As historians, we are supposed 2 ask questions.'

Arrested now by @DelhiPolice.","['RatanLal', 'Shivling']"
68,daniforthewin,,,141,215,1071,0,"@MSerdikoff No I agree. I should have clarified in my original tweet that it’s really less about her complaint and more the comments. I saw stuff like “just slap a label on it”, “give me my damn meds”, “when they walk up I start texting” and it just shows a lack of respect and understanding",[]
69,Samtoon15,,,434,243,10994,32,"Development in Everton FFP complaint. Leeds Utd + Burnley have asked Premier League to order Everton not to delete any data or communication around commercial, sponsorship or transfer business as they step up their drive to get EFC's financial accounts independently investigated.",[]
70,wish_johnny,What U talking about Willis,"Florida, Tallahassee, Miami",518,144,23055,1361,"House Republican Barry Loudermilk — now apparently under investigation by Jan. 6 committee over reconnaissance tours — filed an ethics complaint last May against the Democrats who alleged that Republicans were giving tours, saying they should be punished.",[]
71,MjMalin,Forever young no matter what the calendar says. #Biden/Harris. #BLM Love Our Mother🌎,,575,452,3967,2880,Ted Cruz was hit with 15-page ethics complaint seeking to have him disbarred.,[]
72,sjayant60,,,2515,1900,8722,1,@sjayant60 @UppclChairman Your complaint has been taken into cognizance and forwarded to the DISCOM concerned. We are working towards a quick resolution. @PVVNLHQ #upe210522,[]
73,RoyalMailHelp,The official Twitter account for Royal Mail Customer Service. Here to help Mon-Fri 8am-6pm. Follow @RoyalMail for the latest news.,United Kingdom,5,67769,307309,0,"@annasjlewis Hi. To help us assist, please confirm via DM any of the outstanding details below: 

&gt; Item tracking number, date of posting, &amp; service used
&gt; Sender’s and Recipient’s name, address, contact number and email address
&gt; Any relevant claim/complaint reference numbers  

^RM",[]
74,OccamsPhi,Still figuring life out. Proud wife & mother. Science lover. I'd rather stand up than stand by. 😷💉#Resist #GoodTrouble #IStandWithUkraine 🇺🇦,"Texas, USA",3897,4096,14864,518,"A group of lawyers wants the State Bar of Texas to investigate Republican U.S. Sen. @tedcruz for his “leading” role in attempting to overturn the 2020 presidential election results  
https://t.co/zDZhxMEInC",[]
75,sj558485,,"Hyderabad, India",183,14,4191,1,"@airsewa_MoCA 
It's going to be one month in another 3 days as Alliance air brazenly continues its disregard for regulations.. no response for a customer complaint dated 22 April 2022 and seems no one cares 😡",[]
76,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@TOIMangalore Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
77,MLovesDemocracy,Snark|Politics|Writing|Arts|Civil Rights|Advocacy|Gaming|Music|Government|Mental Health|Absurdism|LCSW|DMs - only if you’re awesome. #USPoli #StandWithUkraine,"Texas, maybe. ",13147,12453,53522,518,"A group of lawyers wants the State Bar of Texas to investigate Republican U.S. Sen. @tedcruz for his “leading” role in attempting to overturn the 2020 presidential election results  
https://t.co/zDZhxMEInC",[]
78,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@TOIMangalore Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
79,Emaxo01,"Enterprise Software Developer.
#Techie #Entrepreneur #TrueNigerian
Living for others is a rule of nature and therein lies the secret of living 📝",Lagos,282,71,275,4009,I remembered vividly the day @PeterObi called me to know how the students are faring. I laid a complaint and he told me he is coming. To my greatest surprise he came in the evening same day and fixed the problem. #GiveUsPeterObi #PeterObi4President2023 https://t.co/tko2FNYTIE,[]
80,Leaseanddesist,Fighting for an end to the #LeaseholdScandal in England and Wales. #AbolishLeasehold #GetCommonholdDone,Feudal England ,4682,1688,59512,5,"Our next focus will be challenging the onerous RPI-linked ground rent by @Brent_Council. Shame on #Brent for engaging in these exploitative #leasehold practices. Complaint to @CMAgovUK on its way.

#leaseholdscandal",['Brent']
81,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@mangalurucorp Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
82,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@mangalurucorp Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
83,seulhyucks,#LUA: lesbians get behind me i'll protect you! 💗🌈 https://t.co/V1PLpZjz1t,22. lesbian. they/she,284,166,4055,0,also ldr do some more traditional/2d art for your show thats my only complaint,[]
84,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@NITIAayog @mangalurucorp @usaid_india @USAID_Samagra @PSIimpact @PMOIndia @narendramodi @amitabhk87 @Lakkshan @DHFWKA @DCDK9 @CMofKarnataka @PIB_India Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
85,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@NITIAayog @mangalurucorp @SmartMangaluru @PMOIndia @narendramodi @amitabhk87 @usaid_india @PSIimpact @Lakkshan @DHFWKA @DCDK9 @CMofKarnataka @PIB_India Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
86,EliminateHate2,Don’t 🛑stop shining 🌞 because someone is intimidated by your light 💡! Start unknown & finish UNforgettable😎! #Truth + #Persistence = #Justice ⚖️,🌴The 🌞State😎,14013,14373,4770,8,"Dear @SecCardona,

If this video does NOT prompt you to enact King’s Law to combat bullying &amp; hazing in public schools, then @POTUS needs to hire someone else to #DoYourJob! The @usdoegov’s Office for Civil Rights has failed to process King’s sexual violation complaint from 2017. https://t.co/Pa09mXtLTH https://t.co/i7b6KPTVxO",[]
87,indranichaudhu6,#CheatedHomeBuyer in @logixzest NOIDA. Favourite Words - NEVER GIVE UP 💪 Will Fight For What’s Right. Make leaders accountable. #GiveLogixZestSWAMIHFunds,"Bengaluru, India",511,405,5675,3,"@JamaiyarA @sanjeev9726 @logixzestnoida @sunilsachdev26 @Shwetabharti22 @indranichaudhu6 @Inderrajsingh83 @myogioffice @myogiadityanath @PMOIndia @tejpalnagarMLA @narendramodi @AmitShah @HardeepSPuri @aajtak @nefowaoffice It's from 'frying-pan to fire' as the antecedent of RP appointed in your NCLT case is questionable.

An inquiry by @IBBIlive is pending against him on a complaint by Buyers of DurvaGreens

Hasn't he divided buyers between those given possession n others

Read NCLT provisions🙏",[]
88,RNJ53,"I wil not Bear Injustice. I Dont care for anyone and anything until I m right. Dont care for Result, Just do duty.",,275,9,7612,0,"@BangaloreTimes1 @SRIMURALIII Complete #Police dept in #India s too much corrupted in last 5 years.
#BJP ur failed to bring control #Corruption,instead its increased.

If any public complaint with audio, video proof then filing case on informer.
Need changes in #India.

#Congress #Bribe #scam #MONEY #NEWS","['Police', 'India', 'BJP', 'Corruption', 'India', 'Congress', 'Bribe', 'scam', 'MONEY', 'NEWS']"
89,ashwin4153,,,2,0,7,0,"@sandipcg @fireboltt__ @nch1915 Hi Sandip, could you please help me how to file a complaint againest Fire boltt, i am pulling my hair for buying this product
pls pls help me",[]
